331919	ويل للكافرين	331920	Woe to infidels.
332182	متى أنشئت هذه الجامعة؟	57984	When was this university founded?
332186	أراها نادراً	1760	I see it rarely.
332187	يعزف على البيانو بشكل جيد جداً	1759	He plays the piano very well.
332191	مع كل احترامي.	332190	With all due respect.
332192	نظف أسنانك	263595	Brush your teeth clean.
332223	ما اسمُك؟	408293	What's your name?
332226	عفوًا.	403068	You're welcome.
336064	يتكلم بسرعة.	300842	He is a fast speaker.
336151	إنه وسيم.	400911	He is very handsome.
336152	إنه وسيم و ذكي.	292459	He is handsome and clever.
336153	إنه وسيم جدا.	300195	He is tremendously handsome.
336153	إنه وسيم جدا.	400911	He is very handsome.
336154	هذه القلعة جميلة.	68196	That castle is beautiful.
336154	هذه القلعة جميلة.	415540	The castle is beautiful.
336154	هذه القلعة جميلة.	415554	This castle is beautiful.
336155	إيطاليا بلد جميل جدا.	1658	Italy is a very beautiful country.
336156	طقس اليوم جميل.	242938	It's fine today.
336157	تعال إلى منزلي.	250566	Come to my house.
336158	منزلي كبير.	250554	My house is big.
336159	أنظر إلى هذا المنزل.	68533	Look at that house.
336160	منزلك رائع.	36073	Your house is fantastic.
336161	مرحباً بك في المنزل.	64693	Welcome home.
336162	إني في المنزل.	29049	I am at home.
336162	إني في المنزل.	404046	I'm at home.
336163	لا أحب المدرسة.	386739	I don't like school.
336164	أنا طالب في هذه المدرسة.	253572	I am a student of this school.
336165	هذه مدرستنا.	67053	That is our school.
337468	تستطيع معالجة السرطان اذا أكتشف في المراحل الأولى.	63418	Cancer can be cured easily if it is found in its first phase.
337469	مرض السرطان هو عدو البشريه الأكبر	63419	Cancer is a great enemy of humanity.
340399	هل تتكلم اللغة الإنجليزية؟	378270	Do you speak English?
340401	لا تقلق.	28490	At ease.
340401	لا تقلق.	506446	Don't worry.
340401	لا تقلق.	1871641	Don't worry!
341949	الدوق يمتلك الكثير من الأراضي.	48015	The duke holds a lot of land.
341950	الشهر القمري أقصر من الشهر الشمسي.	275018	A lunar month is shorter than a calendar month.
341951	اليوم أقمارنا الصناعية تدور حول الأرض.	239549	Today our artificial satellites are revolving around the earth.
341952	فكرة جيدة أن نلعب الشوقي بعد الغداء.	262525	It is a good idea for us to play shogi after dinner.
341953	استيقظت في السابعة هذا الصباح.	242178	I got up at seven this morning.
341965	تركوا المشكلة بدون حل.	305864	They left the problem unsolved.
370530	هل تريد أن تنصحني بشيء ما ؟	277645	Do you have any advice for me?
370531	تعتمد اليابان على نفط البلدان العربية.	281480	Japan relies on Arab countries for oil.
370532	ما هذا؟	413821	What's this?
370533	من رسم هذه اللوحة؟	2226	Who painted this painting?
370534	هذا بيتي وهذه أرضي!	328728	This house and this land are mine.
370535	أحببت هذا الفيلم.	2320	I liked this film.
370536	من كتب هذا الكتاب؟	40452	Who wrote this book?
370537	من وضع هذه الخطة؟	40456	Who made this plan?
370538	هذا ليس عدلاً.	42458	This isn't fair.
370538	هذا ليس عدلاً.	442964	That's not fair.
370538	هذا ليس عدلاً.	442966	That isn't fair.
370539	اشتريته بالأمس.	54958	I bought this yesterday.
370540	هذا لك.	55752	This is for you.
370541	هذا كتاب.	55399	This is a book.
370542	هذا كتابها.	55424	This is her book.
370543	قابلنا كاتباً.	370544	We met a writer.
370545	الطريق طويل.	370546	The road is long.
370549	العالم قرية صغيرة.	271093	It's a small world.
